date,home_team,away_team,home_goals,away_goals,stage,tournament
2002-05-31,France,Senegal,0,1,group,WC2002
2002-06-01,Germany,Saudi Arabia,8,0,group,WC2002
2002-06-01,Ireland,Cameroon,1,1,group,WC2002
2002-06-01,Uruguay,Denmark,1,2,group,WC2002
2002-06-02,Argentina,Nigeria,1,0,group,WC2002
2002-06-02,England,Sweden,1,1,group,WC2002
2002-06-02,Paraguay,South Africa,2,2,group,WC2002
2002-06-02,Spain,Slovenia,3,1,group,WC2002
2002-06-03,Brazil,Turkey,2,1,group,WC2002
2002-06-03,Croatia,Mexico,0,1,group,WC2002
2002-06-03,Italy,Ecuador,2,0,group,WC2002
2002-06-04,China,Costa Rica,0,2,group,WC2002
2002-06-04,Japan,Belgium,2,2,group,WC2002
2002-06-04,South Korea,Poland,2,0,group,WC2002
2002-06-05,Germany,Ireland,1,1,group,WC2002
2002-06-05,Russia,Tunisia,2,0,group,WC2002
2002-06-05,USA,Portugal,3,2,group,WC2002
2002-06-06,Cameroon,Saudi Arabia,1,0,group,WC2002
2002-06-06,Denmark,Senegal,1,1,group,WC2002
2002-06-06,France,Uruguay,0,0,group,WC2002
2002-06-07,Argentina,England,0,1,group,WC2002
2002-06-07,Spain,Paraguay,3,1,group,WC2002
2002-06-07,Sweden,Nigeria,2,1,group,WC2002
2002-06-08,Brazil,China,4,0,group,WC2002
2002-06-08,Italy,Croatia,1,2,group,WC2002
2002-06-08,South Africa,Slovenia,1,0,group,WC2002
2002-06-09,Costa Rica,Turkey,1,1,group,WC2002
2002-06-09,Japan,Russia,1,0,group,WC2002
2002-06-09,Mexico,Ecuador,2,1,group,WC2002
2002-06-10,South Korea,USA,1,1,group,WC2002
2002-06-10,Portugal,Poland,4,0,group,WC2002
2002-06-10,Tunisia,Belgium,1,1,group,WC2002
2002-06-11,Cameroon,Germany,0,2,group,WC2002
2002-06-11,Denmark,France,2,0,group,WC2002
2002-06-11,Saudi Arabia,Ireland,0,3,group,WC2002
2002-06-11,Senegal,Uruguay,3,3,group,WC2002
2002-06-12,Nigeria,England,0,0,group,WC2002
2002-06-12,Slovenia,Paraguay,1,3,group,WC2002
2002-06-12,South Africa,Spain,2,3,group,WC2002
2002-06-12,Sweden,Argentina,1,1,group,WC2002
2002-06-13,Costa Rica,Brazil,2,5,group,WC2002
2002-06-13,Ecuador,Croatia,1,0,group,WC2002
2002-06-13,Mexico,Italy,1,1,group,WC2002
2002-06-13,Turkey,China,3,0,group,WC2002
2002-06-14,Belgium,Russia,3,2,group,WC2002
2002-06-14,Japan,Tunisia,2,0,group,WC2002
2002-06-14,South Korea,Portugal,1,0,group,WC2002
2002-06-14,Poland,USA,3,1,group,WC2002
2002-06-15,Denmark,England,0,3,knockout,WC2002
2002-06-15,Germany,Paraguay,1,0,knockout,WC2002
2002-06-16,Spain,Ireland,1,1,knockout,WC2002
2002-06-16,Sweden,Senegal,1,2,knockout,WC2002
2002-06-17,Brazil,Belgium,2,0,knockout,WC2002
2002-06-17,Mexico,USA,0,2,knockout,WC2002
2002-06-18,Japan,Turkey,0,1,knockout,WC2002
2002-06-18,South Korea,Italy,2,1,knockout,WC2002
2002-06-21,England,Brazil,1,2,knockout,WC2002
2002-06-21,Germany,USA,1,0,knockout,WC2002
2002-06-22,South Korea,Spain,0,0,knockout,WC2002
2002-06-22,Senegal,Turkey,0,1,knockout,WC2002
2002-06-25,South Korea,Germany,0,1,knockout,WC2002
2002-06-26,Brazil,Turkey,1,0,knockout,WC2002
2002-06-29,South Korea,Turkey,2,3,knockout,WC2002
2002-06-30,Germany,Brazil,0,2,knockout,WC2002
